Rating,Reviews,Clean_Reviews,Word_Count
5,"I feel so LUCKY to have found this used (phone to us & not used hard at all), phone on line from someone who upgraded and sold this one. My Son liked his old one that finally fell apart after 2.5+ years and didn't want an upgrade!! Thank you Seller, we really appreciate it & your honesty re: said used phone.I recommend this seller very highly & would but from them again!!",i feel so lucky to have found this used phone to us not used hard at all phone on line from someone who upgraded and sold this one my son liked his old one that finally fell apart after years and didn t want an upgrade thank you seller we really appreciate it your honesty re said used phone i recommend this seller very highly would but from them again,70
4,"nice phone, nice up grade from my pantach revue. Very clean set up and easy set up. never had an android phone but they are fantastic to say the least. perfect size for surfing and social media. great phone samsung",nice phone nice up grade from my pantach revue very clean set up and easy set up never had an android phone but they are fantastic to say the least perfect size for surfing and social media great phone samsung,40
5,Very pleased,very pleased,2
4,It works good but it goes slow sometimes but its a very good phone I love it,it works good but it goes slow sometimes but its a very good phone i love it,17
4,"Great phone to replace my lost phone. The only thing is the volume up button does not work, but I can still go into settings to adjust. Other than that, it does the job until I am eligible to upgrade my phone again.Thaanks!",great phone to replace my lost phone the only thing is the volume up button does not work but i can still go into settings to adjust other than that it does the job until i am eligible to upgrade my phone again thaanks,44
1,"I already had a phone with problems... I know it stated it was used, but dang, it did not state that it did not charge. I wish I would have read these comments then I would have not purchased this item.... and its cracked on the side.. damaged goods is what it is.... If trying to charge it another way does not work I am requesting for my money back... AND I WILL GET MY MONEY BACK...SIGNED AN UNHAPPY CUSTOMER....",i already had a phone with problems i know it stated it was used but dang it did not state that it did not charge i wish i would have read these comments then i would have not purchased this item and its cracked on the side damaged goods is what it is if trying to charge it another way does not work i am requesting for my money back and i will get my money back signed an unhappy customer,81
2,The charging port was loose. I got that soldered in. Then needed a new battery as well. $100 later (not including cost of purchase) I have a usable phone. The phone should not have been sold in the state it was in.,the charging port was loose i got that soldered in then needed a new battery as well later not including cost of purchase i have a usable phone the phone should not have been sold in the state it was in,41
2,"Phone looks good but wouldn't stay charged, had to buy new battery. Still couldn't stay charged long.so I trashed it.MONEY lost, never again will I buy from this person! !!!",phone looks good but wouldn t stay charged had to buy new battery still couldn t stay charged long so i trashed it money lost never again will i buy from this person,33
5,"I originally was using the Samsung S2 Galaxy for Sprint and wanted to return back to the Samsung EPIC 4G for Sprint because I really missed the keyboard, I really liked the smaller compact size of the phone, and I still needed some of the basic functions of a smart phone (i.e. checking e-mail, getting directions, text messaging) Because the phone is not as powerful as the newer cell phones out there, just be aware that the more applications you install the slower the phone runs and will most likely freeze up from time to time. But the camera works great, the video is great as well, and even the web browsing is decent and gives me what I need. I also notice that battery life lasts a little bit longer and charging the phone is much quicker than my Galaxy S2.",i originally was using the samsung s galaxy for sprint and wanted to return back to the samsung epic g for sprint because i really missed the keyboard i really liked the smaller compact size of the phone and i still needed some of the basic functions of a smart phone i e checking e mail getting directions text messaging because the phone is not as powerful as the newer cell phones out there just be aware that the more applications you install the slower the phone runs and will most likely freeze up from time to time but the camera works great the video is great as well and even the web browsing is decent and gives me what i need i also notice that battery life lasts a little bit longer and charging the phone is much quicker than my galaxy s,144
3,It's battery life is great. It's very responsive to touch. The only issue is that sometimes the screen goes black and you have to press the top button several times to get the screen to re-illuminate.,it s battery life is great it s very responsive to touch the only issue is that sometimes the screen goes black and you have to press the top button several times to get the screen to re illuminate,39
